,Unnamed: 0,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
0,9791165342333,9791165342333,"당신의 인생을 정리해드립니다
삶이 바뀌는 신박한 정리",이지영,쌤앤파커스,2020년 10월 08일,13500,가정 살림
1,9791188700691,9791188700691,"아이를 위한 하루 한 줄 인문학 유럽 문화예술 편
아이의 세계와 시각을 넓혀줄 예술 문장 100",김종원,청림Life,2020년 10월 07일,14400,가정 살림
2,9788993267792,9788993267792,"자존감 높은 아이로 키우는 애착육아
[ 개정판 ]",윌리엄 시어스,푸른육아,2020년 09월 17일,13320,가정 살림
3,9791136248787,9791136248787,"내 아이에게 들려주는 매일 심리학
아이의 지성, 사회성, 인성을 키우는 30가지 심리 이야기",이동귀,니들북,2020년 09월 18일,12150,가정 살림
4,9791160023022,9791160023022,"엄마의 사랑법
엄마는 자녀를 어떻게 사랑해야 하는가",장성오,메이트북스,2020년 09월 17일,13500,가정 살림
5,9791197065910,9791197065910,"초등 공부머리를 위한
하루 15분 인문학 지혜 독서법",심정섭,체인지업,2020년 09월 10일,15300,가정 살림
6,9788956993980,9788956993980,우리 아이는 어쩌다 입을 닫았을까,로즈 W. 그린,한문화,2020년 07월 31일,13500,가정 살림
7,9791165212650,9791165212650,"내가 들어보지 못해서, 아이에게 해주지 못한 말들
5,000가정을 변화시킨 정신과 의사의 따뜻한 대화 습관 28",다나카 시게키,길벗,2020년 09월 01일,12420,가정 살림
8,9791158771881,9791158771881,"영어 그림책, 하브루타가 말을 걸다
엄마와 아이가 행복해지고 영어가 재밌어지는 독서법",이영은,바이북스,2020년 09월 05일,11700,가정 살림
9,9791190920025,9791190920025,"이탈리아 집밥
푸근한 할머니 음식에서 미슐랭 셰프의 레시피까지",정해리,브.레드,2020년 09월 10일,16200,가정 살림
10,9791185473611,9791185473611,"채식 연습
천천히 즐기면서 채식과 친해지기",이현주,레시피팩토리(단행),2020년 08월 11일,15120,가정 살림
11,9791162850640,9791162850640,"음식에도 마스크를 씌워야 하나요
팬데믹 시대의 식사는 어떻게 변화해야 하는가",임선영,마음의숲,2020년 09월 28일,13500,건강 취미
12,9791190242615,9791190242615,"한 그릇 싹~ 비우는 서현이네 유아식
편식 걱정 끝! 세상 편한 레시피",한온유,베가북스,2020년 09월 25일,13320,가정 살림
