,ISBN,BookTitle,BookAuthor,Publisher,PubDate,Price,Category-2
9791166030666,9791166030666,"비혼 여성, 아무튼 잘 살고 있습니다 같이는 아니지만 가치 있게 사는",권미주,이담북스(이담Books),2020년 09월 04일,13500,에세이
9791157062119,9791157062119,힘의 역전 2 달라진 세계,"정혜승, 문정인, 다니엘 튜더, 김세연, 유명희  외 3명
                    
정보 더 보기/감추기



정혜승
문정인
다니엘 튜더
김세연
유명희
김동환
민금채
이원재",메디치미디어,2020년 09월 10일,14400,사회 정치
9788960518056,9788960518056,법은 어떻게 부자의 무기가 되는가 알면 벌고 모르면 당하는 ‘재벌법’의 10가지 비밀,천준범,부키,2020년 09월 20일,14400,경제 경영
9791190147309,9791190147309,사회 보드게임북,"박찬정, 박점희",애플북스,2020년 09월 23일,14850,사회 정치
9791190337458,9791190337458,"온라인 수업, 교사 실재감이 답이다 온라인과 오프라인을 넘나드는 수업 전략",신을진 /수업과성장연구소 기획,우리학교,2020년 09월 01일,12600,사회 정치
9791165523725,9791165523725,필요할 때 쉽고 빠르게 찾아보는 노동법 노트,"김형진, 정진수",지식과감성#,2020년 08월 26일,18000,사회 정치
9791188717170,9791188717170,장기려 리더십 가난한 사람도 치료받을 수 있는 나라로 이끈 변혁적 리더,김은식,나무야,2020년 09월 10일,12420,사회 정치
9791196968243,9791196968243,교사의 시선,김태현,교육과실천,2020년 10월 07일,16200,사회 정치
9791157062096,9791157062096,국체론 천황제 속에 담긴 일본의 허구,시라이 사토시 /한승동 역,메디치미디어,2020년 09월 10일,16200,사회 정치
9791197150807,9791197150807,온라인 라이브 클래스  비대면 교육과정 설계와 러닝 퍼실리테이션 실전가이드,"정강욱, 이연임",리얼러닝,2020년 08월 24일,22500,사회 정치
9791186742860,9791186742860,"에듀테크 FOR 클래스룸 한 권으로 끝내는 원격교육, 온라인 수업 도구의 모든 것","박찬, 김병석, 전수연, 전은경, 진성임  외 3명
                    
정보 더 보기/감추기



박찬
김병석
전수연
전은경
진성임
정선재
강윤진
변문경",다빈치books,2020년 08월 26일,22500,사회 정치
9788936477196,9788936477196,선량한 차별주의자,김지혜,창비,2019년 07월 17일,13500,사회 정치
9788970873343,9788970873343,대재앙 시대 생존 전략 황장수 서민 포퓰리즘 15조,황장수,미래사,2020년 10월 17일,14400,사회 정치
9791166030932,9791166030932,학습자를 사로잡는 강의 콘텐츠 만들기 나만의 콘텐츠를 고민하는 강사들을 위한 길라잡이,박준영,이담북스(이담Books),2020년 09월 21일,9000,사회 정치
9791185032511,9791185032511,공감으로 집권하라,이영풍,글통,2020년 09월 15일,16200,사회 정치
9788974184131,9788974184131,"21세기 공화주의와 공동선, 한국","21세기공화주의클럽, 한면희, 윤원근, 김동규, 조민  외 2명
                    
정보 더 보기/감추기



21세기공화주의클럽
한면희
윤원근
김동규
조민
함규진
채진원",인간사랑,2020년 09월 25일,15000,사회 정치
9791189970048,9791189970048,그 일이 일어난 방  존 볼턴의 백악관 회고록,"존 볼턴 /박산호, 김동규, 황선영 역",시사저널,2020년 09월 28일,22500,사회 정치
9788966378555,9788966378555,굿바이 아동학대,맹경숙,미다스북스(리틀미다스),2020년 09월 24일,14250,사회 정치
9791186418543,9791186418543,군인도 잘 모르는 군대 이야기,김경연,문학바탕,2020년 09월 01일,14400,사회 정치
9791196968236,9791196968236,초등교육실습운영시스템 현장 중심의 교육실습 어떻게 할까?,"김동민, 고은별, 김호정, 노진영, 안나  외 2명
                    
정보 더 보기/감추기



김동민
고은별
김호정
노진영
안나
정호중
정유진",사람과교육(교육과실천),2020년 09월 11일,18000,사회 정치
9788958077664,9788958077664,슬기로운 온라인 수업 스마트 클래스를 위한,"김서영, 김재현, 박종필, 홍지연",뜨인돌,2020년 09월 16일,13500,사회 정치
9791190015189,9791190015189,슬기로운 공무원 생활 생각보다 방대하고 의외로 전문적인 공직 라이프,김철원,마인드빌딩,2020년 09월 25일,15300,자기계발
9791190400077,9791190400077,"펭귄, 팀프러너가 되다 팀으로 배우고 창업하는 혁신적 교육 모델, 핀란드 티미아카테미아 이야기","티모 레토넨 /김강현, 김희정, 이예나 역",착한책가게,2020년 09월 07일,21600,사회 정치
9791164250707,9791164250707,로컬이 미래다 지역의 시민을 키우는 풀뿌리 지역교육,추창훈,에듀니티,2020년 08월 31일,15300,사회 정치
9788997780402,9788997780402,검찰개혁과 촛불시민 조국 사태로 본 정치검찰과 언론,조국백서추진위원회,오마이북,2020년 08월 05일,22500,사회 정치
9788936478124,9788936478124,선량한 차별주의자 (10만부 기념 특별판) [ 양장 ],김지혜,창비,2020년 07월 17일,14400,사회 정치
9791190158084,9791190158084,"성노동, 성매매가 아니라 성착취",박혜정,열다북스,2020년 06월 18일,13500,사회 정치
9791160075014,9791160075014,거대한 분기점 8인의 석학이 예측한 자본주의와 경제의 미래  [ 양장 ],"폴 크루그먼, 토머스 L. 프리드먼, 최배근, 데이비드 그레이버, 토마스 세들라체크  외 5명
                    
정보 더 보기/감추기



폴 크루그먼
토머스 L. 프리드먼
최배근
데이비드 그레이버
토마스 세들라체크
뤼트허르 브레흐만
빅토어 마이어 쇤베르거
타일러 코웬
오노 가즈모토
최예은",한스미디어,2020년 06월 19일,14220,경제 경영
9788936486600,9788936486600,판문점의 협상가 정세현 회고록 북한과 마주한 40년 | 박인규 대담  [ 양장 ],"정세현, 박인규",창비,2020년 06월 05일,27000,사회 정치
9791197004728,9791197004728,피리 부는 여자들 여성 간의 생활·섹슈얼리티·친밀성  [ 양장 ],"권사랑, 서한나, 이민경",보슈(BOSHU),2020년 04월 13일,14060,사회 정치
9791196968205,9791196968205,"그림책, 교사의 삶으로 다가오다 교사에게 그림책이 필요한 순간",김준호,교육과실천,2020년 04월 20일,13950,사회 정치
9791159301407,9791159301407,"학생과 교사, 수업을 묻다 여학생 체육수업, 기쁨과 좌절 사이",전용진,살림터,2020년 04월 03일,16200,사회 정치
9788950986872,9788950986872,쉼 없이 걸어 촛불을 만났다 최민희의 언론개혁 여정,최민희,21세기북스,2020년 03월 11일,16200,사회 정치
9791190158053,9791190158053,포르노랜드,게일 다인스 /신혜빈 역,열다북스,2020년 02월 12일,18000,사회 정치
9791185057767,9791185057767,어떻게 글쓰기 이렇게 글쓰기 교육,"전기현, 유성열, 손균욱, 정유숙, 윤나라",기역,2019년 12월 14일,13500,사회 정치
9788901237367,9788901237367,도시는 어떻게 삶을 바꾸는가 불평등과 고립을 넘어서는 연결망의 힘,에릭 클라이넨버그 /서종민 역,웅진지식하우스,2019년 11월 18일,15750,사회 정치
9788901237244,9788901237244,왜 살인자에게 무죄를 선고했을까? 영화보다 더 영화 같은 12가지 충격 실화,페르디난트 폰 쉬라크 /이지윤 역,갤리온,2019년 10월 11일,12600,사회 정치
9791196661915,9791196661915,좌파가 장악한 대한민국,김세의,가로세로연구소,2019년 07월 02일,8910,사회 정치
9791189063023,9791189063023,나의 살던 북한은 노동자 출신의 여성이 말하는 남북한 문화,경화,일다,2019년 05월 02일,12600,사회 정치
9791196403850,9791196403850,노동의 미래와 기본소득 21세기 빈곤 없는 사회를 위하여,"앤디 스턴, 리 크래비츠 /박영준 역",갈마바람,2019년 03월 25일,16200,사회 정치
9788959406890,9788959406890,"아동학대에 관한 뒤늦은 기록 별이 된 아이들 263명, 그 이름을 부르다  [ 3판 ]","임지선 /임인택, 하어영, 류이근, 최현준 공",시대의창,2019년 02월 10일,14220,사회 정치
9791157842339,9791157842339,더 저널리스트 : 조지 오웰 [ 양장 ],조지오웰 /김영진 편역,한빛비즈,2018년 03월 10일,15300,사회 정치
9791185992754,9791185992754,학교 내부자들 민주적인 학교를 위하여,박순걸,에듀니티,2018년 02월 23일,13500,사회 정치
9788956991573,9788956991573,가르칠 수 있는 용기 가르침의 진정한 정신을 발견하는 유쾌하고 감동적인 여행  [ 개정증보판 ],"파커 J. 파머 /이종인, 이은정 역",한문화,2013년 04월 25일,13500,사회 정치
9788970137926,9788970137926,민족주의,장문석,책세상,2011년 05월 15일,9000,사회 정치
9788937425363,9788937425363,노동의 종말,제러미 리프킨 /이영호 역,민음사,2005년 05월 20일,20700,사회 정치
9788990220219,9788990220219,교사의 마음을 제대로 전하는 대화의 기술,스와 고이치 등편 / 오근영 역,양철북,2004년 04월 17일,8100,사회 정치
9788980400850,9788980400850,가끔 아이들은 억울하다 김대유의 생활지도 딜레마,김대유,우리교육,2003년 01월 31일,7200,사회 정치
