,Title,ConRate,DesRate,Author,Date,Content,BookCode
0,반도체 면접 준비 시작하기,4,5,-,2020-10-05,관련 지식이 없어서 면접 준비를 위해 구매했습니다. 내용이 다양하게 있어서 반도체 관련한 직군을 준비하고 있다면 도움이 많이 될 것 같습니다. 자소서 쓰고 직군 알아볼 때 막막했는데 미리 알고 있었다면 좀 더 도움이 됐을 것 같아요! 엔지닉에서 무료 온라인 스터디를 하기 위해 구매했는데 도움이 많이 되는거 같아요!! 구매 하셨다면 함께 이용하는거 추천합니다! 찾아서 이용해 보세요!!,9791161980911
1,반도체 공부에 최적화된 교재,5,5,첫번째안개꽃,2020-09-29,현재 대학교에 재학중이면서 동시에 반도체 공부를 하기 위해 구매한 책입니다. 핵심 내용이 잘 정리되어 있어 학업중에도 지장이 없고 최신 트렌드도 반영되어 있어 흐름에 뒤쳐지지 않는 내용을 모두 갖고 있습니다. 전자공학을 전공하고 있더라도 취업을 위해 배우는 반도체와는 조금 다른 특징을 가지고 있습니다. 따라서 취업 준비를 위해 교재 구매를 고민하시는 분들에게 권장드립니다.,9791161980911
2,엔지닉 반도체 전공면접 합격의 모든 것,5,4,쪙스,2020-09-29,"면접 준비위해 구매했고 상반기부터 사용중입니다. 생각보다 내용이 굉장히 다양해요! 최신 기술도 나와있어서 좋아요. 다만 조금 더 자세한 설명있었음 좋겠다 하는 부분이 좀 있긴 해요그래도 면접 준비, 반도체 공부하는데 매우 추천합니다(학부때 진즉에 알았음 좋았을텐데 ㅠㅠ)엔지닉에서 진행하는 무료 온라인 스터디 함께 이용하면 도움이 됩니다! 면접 준비위해 구매했고 상반기부터 사용중입니다. 생각보다 내용이 굉장히 다양해요! 최신 기술도 나와있어서 좋아요. 다만 조금 더 자세한 설명있었음 좋겠다 하는 부분이 좀 있긴 해요그래도 면접 준비, 반도체 공부하는데 매우 추천합니다(학부때 진즉에 알았음 좋았을텐데 ㅠㅠ)엔지닉에서 진행하는 무료 온라인 스터디 함께 이용하면 도움이 됩니다!",9791161980911
3,취업 준비 및 반도체 공부를 위해 구입했습니다.,5,5,-,2020-09-29,"전공에서 배우는 반도체 기초부터 취업시 필요한 최신 미세공정에 따른 반도체 산업의 변화까지 모든 내용을 압축해놓은 좋은 참고서입니다. 이 책 덕분에 이론적으로만 알고있던 반도체에서 현실적인 내용, 앞으로 준비해야할 내용을 알 수 있었으며 취업 준비에 더욱 도움이 될 것 같습니다!! 전공자의 시선에서 바라본 것이지만 비전공자 입장에서도 천천히 여유를 갖고 읽기에 적당할 만큼 내용 설명도 쉽게 되어있으니 부담없이 읽기 좋은 책이라고 생각합니다!!",9791161980911
4,반도체 비전공자에게 도움이 되는 책,5,5,njkimas,2020-09-29,반도체 면접에 대비해 공부하고 있습니다.꼭 삼성전자가 아니더라도 다양한 반도체직군에서 유용하게 쓰일 것으로 기대중이고다양한 취업정보도 함께 있는 것 같아 도움이 됩니다. 이미지 그림형식도 많아서 한 눈에 반도체가 들어온다는 점이 이 책에 가장 큰 장점인 것 같습니다.전공자에겐 모르겠지만 초보자들에게는 강추합니다!!! 취업준비에 다들 힘내셔서 취뽀하시길 빌며..(저도 화이팅! ㅠㅠ),9791161980911
5,취업 준비를 위해 구매하였습니다.,5,5,lmk969,2020-09-27,"대학교 전공 수업을 통해 반도체에 배우긴 하였으나 정리되지 않은 채로 머릿속에 엉켜있어 반도체 공부 겸 취업 준비 겸, 겸사겸사 책을 구매하였습니다. 반도체의 이론에 대해 완벽히 정리되어 있어 매우 도움이 되었고 취업을 위한 준비에 큰 도움이 될 것 같습니다. 반도체 관련 전공자들은 이 책을 통해 내용정리를, 반도체 비전공자들이더라도 이 책을 통해 반도체 이론을 정복할 수 있을 것이라 생각되네요.",9791161980911
6,반도체 공부하기 위해 구매했습니다!!!,5,5,gnzmrud5215,2020-09-26,반도체 공부를 하기 위해서 구매했습니다. 주변에서 추천도 많이 하고 서점에서도 순위권이 높은 것도 구매하는데 영향을 미쳤습니다.    반도체 관련 지식이 없는 사람도 쉽게 이해할 수 있게 잘 구성되어있는 것 같습니다. 반도체 공부를 하면서 면접준비도 함께 할 수 있다는게 큰 메리트인 것 같습니다!!!!              하나하나 쉽게 설명이 잘 되어있고 필요한 부분을 딱 정리가 잘 되어있습니다. 반도체 지식을 쌓는데 큰 도움이 될거같습니다.,9791161980911
7,"비전공자, 입문자들까지 반도체 취업 준비에 적합한 완성도 높은 책 구매후기",5,5,모건,2020-09-21,"화학공학과 출신이지만 반도체 기업으로 취업준비과정을 넓히게 되면서 기초 이론과합격 전략을 공유받고자 책을 구매하게 되었습니다. 생각한 것보다 이론 뿐만 아니라 pt 면접 기출이 반영된 내용과, 핵심 용어집, 그리고 입문자를 위한 강의까지 제공해주어 책 한 권 값에 강의까지 모두 저렴하게 구매한 기분이 드네요. 공정은 물론 산업 이해와 기술 동향까지 책에 담겨 있어 한 권만 잘 파악해도 자기소개서 및 면접 준비 끄떡 없을 것 같습니다. 엔지닉 반도체 전공면접 합격의 모든 것 이론 완성편으로 면접까지 고고하겠습니다.",9791161980911
8,반도체에 관한 전반적인 내용을 담은 책!,5,5,guswjd94,2020-09-20,"반도체 8대 공정이 무엇인지도 몰랐던 취업 준비생으로, 막연히 반도체 업체에 취업을 하고 싶었던 사람들에게 길라잡이가 될 수 있는 교재입니다. 반도체가 무엇인지부터 8대공정, 마지막으로 반도체 시장 분석까지 전반적인 지식을 함양할 수 있는 교재로 저와 같은 사람들에게 추천합니다. 각 공정의 내용 소개와 더불어 실제 직무 역량 면접 기출문제와 답변이 수록되어 있어 면접 준비까지 할 수 있는 좋은 책입니다.",9791161980911
9,엔지닉 교재 리뷰,5,5,eqsdyh,2020-09-20,편집과정에 참여했던 취준생으로서 반도체에 대한 기본부터 심화까지 모든 것이 담겨있는 책이었습니다. 저는 학교에서 메모리에 관련된 과목이 없어 학습에 어려움이 있었고 관련 교육자료가 절실했습니다. 편집과정에서도 한번 보고 후에 책을 미리 받아서도 계속 보고있습니다.이런 분들에게 추천합니다.반도체 관련 학과가 아니라서 반도체 지식을 쌓고 싶은 분들반도체 관련 학과지만 심화된 내용을 공부하고 싶은 분들최신 기술이나 이론에 대해 공부하고 싶은 분들,9791161980911
